"SESSIONID","EXERCISEID","SETS","REPS","WORKOUT"
431,36,5,17,"Decline cable crossovers"
432,36,4,23,"Dumbbell flyes"
433,51,5,25,"Wrist curl"
434,50,4,23,"Skull crushers"
435,52,5,22,"Bent-over lateral raises"
436,26,5,22,"Barbell hip thrusts"
437,2,4,19,"Concentration curls"
438,13,5,25,"Seated cable rows"
439,23,5,15,"Barbell curls"
440,3,5,17,"Decline cable crossovers"
441,18,4,15,"Incline dumbbell press"
442,19,5,15,"Overhead triceps extensions"
443,38,5,23,"Triceps pushdowns"
444,27,4,18,"Overhead triceps extensions"
445,19,5,16,"Plank"
446,19,3,12,"Wrist curl"
447,33,4,21,"Crunches"
448,47,4,25,"Face pulls"
449,10,4,18,"Leg curls"
450,12,4,24,"Seated calf raises"
451,16,4,23,"Bent-over lateral raises"
452,40,4,19,"Leg extensions"
453,45,4,17,"Leg press"
454,22,4,19,"Bicycle crunches"
455,39,5,20,"Triceps pushdowns"
456,53,4,23,"Overhead triceps extensions"
457,25,4,21,"Bent-over lateral raises"
458,4,4,19,"Bicycle crunches"
459,8,4,23,"Dumbbell flyes"
460,7,4,16,"Plate pinch"
461,36,4,17,"Wrist extension"
462,49,4,18,"Wrist extension"
463,36,4,15,"Dumbbell curls"
464,33,5,22,"Dumbbell flyes"
465,29,3,20,"Cable crossovers"
466,12,5,17,"Seated cable rows"
467,3,5,15,"Wrist extension"
468,45,4,17,"Decline dumbbell press"
469,52,5,21,"Bicep Curls"
470,50,4,16,"Fat grip dumbbell curl"
471,46,5,24,"Seated calf raises"
472,13,4,23,"Preacher curls"
473,44,5,16,"Plank"
474,13,5,21,"Close-grip bench press"
475,34,4,15,"Barbell rows"
476,32,4,15,"Bicep Curls"
477,2,4,19,"Leg raises"
478,50,5,20,"Military press"
479,30,5,24,"Wrist curl"
480,33,4,16,"Barbell hip thrusts"
481,31,5,25,"Leg extensions"
482,40,4,25,"Barbell rows"
483,28,4,25,"Plate pinch"
484,2,4,23,"Barbell rows"
485,15,4,25,"Seated calf raises"
486,39,4,24,"Leg curls"
487,43,4,15,"Wrist extension"
488,25,4,20,"Dumbbell flyes"
489,16,5,16,"Bird dog"
490,51,5,20,"Seated calf raises"
491,24,5,20,"Leg press"
492,13,5,18,"Leg curls"
493,51,4,25,"Leg curls"
494,38,5,20,"Close-grip bench press"
495,35,5,23,"Incline dumbbell press"
496,7,5,24,"Plate pinch"
497,31,4,23,"Overhead triceps extensions"
498,50,4,21,"Chest flyes"
499,6,5,16,"Donkey kicks"
500,44,4,15,"Close-grip bench press"
501,55,4,15,"Standing calf raises"
502,17,4,18,"Barbell squats"
503,37,5,17,"Barbell squats"
504,16,4,19,"Overhead triceps extensions"
505,32,5,18,"Romanian deadlifts"
506,4,4,18,"Leg extensions"
507,11,5,20,"Incline dumbbell flyes"
508,8,4,19,"Incline dumbbell flyes"
509,48,4,25,"Plank"
510,29,5,18,"Towel pull-up"
511,34,4,17,"Seated calf raises"
512,38,5,20,"Triceps dips"
513,51,4,25,"Bird dog"
514,7,4,24,"Military press"
515,29,4,24,"Leg press"
516,47,5,21,"Romanian deadlifts"
517,37,5,16,"Incline cable crossovers"
518,7,4,16,"Bicycle crunches"
519,25,5,22,"Plank"
520,4,5,16,"Towel pull-up"
521,43,5,24,"Plank"
522,16,3,12,"Crunches"
523,46,4,23,"Towel pull-up"
524,9,5,19,"Barbell rows"
525,19,4,18,"Leg curls"
526,15,5,24,"Decline dumbbell flyes"
527,37,5,19,"Cable crossovers"
528,21,4,24,"Wrist curl"
529,19,5,18,"Wrist curl"
530,2,5,19,"Hammer curl"
531,37,5,15,"Towel pull-up"
532,18,4,17,"Incline dumbbell press"
533,44,5,15,"Barbell hip thrusts"
534,14,5,22,"Leg extensions"
535,25,4,23,"Barbell rows"
536,7,5,18,"Crunches"
537,28,4,25,"Concentration curls"
538,1,5,17,"Bent-over lateral raises"
539,11,4,19,"Leg press"
540,54,4,16,"Triceps pushdowns"
541,54,4,19,"Bent-over lateral raises"
542,2,4,19,"Face pulls"
543,8,5,16,"Wrist curl"
544,31,4,21,"Cable crossovers"
545,39,4,15,"Bicycle crunches"
546,23,5,23,"Plate pinch"
547,20,5,15,"Close-grip bench press"
548,16,3,12,"Plate pinch"
549,51,4,25,"Incline dumbbell flyes"
550,22,4,25,"Decline dumbbell flyes"
551,22,4,18,"Bicycle crunches"
552,18,5,15,"Leg curls"
553,34,5,24,"Bent-over rows"
554,31,5,19,"Seated cable rows"
555,1,5,16,"Dumbbell flyes"
556,36,4,20,"Leg extensions"
557,8,5,25,"Romanian deadlifts"
